CIVILSTAND;TID;ALDER;INDHOLD
Ugift;2020K1;I alt;2844060
Ugift;2020K1;0 år;61466
Ugift;2020K1;1 år;61916
Ugift;2020K1;2 år;62148
Ugift;2020K1;3 år;62697
Ugift;2020K1;4 år;59661
Ugift;2020K1;5 år;58993
Ugift;2020K1;6 år;58415
Ugift;2020K1;7 år;60745
Ugift;2020K1;8 år;61926
Ugift;2020K1;9 år;66522
Ugift;2020K1;10 år;66254
Ugift;2020K1;11 år;68649
Ugift;2020K1;12 år;67673
Ugift;2020K1;13 år;68523
Ugift;2020K1;14 år;67530
Ugift;2020K1;15 år;67768
Ugift;2020K1;16 år;67948
Ugift;2020K1;17 år;67304
Ugift;2020K1;18 år;68617
Ugift;2020K1;19 år;71504
Ugift;2020K1;20 år;71833
Ugift;2020K1;21 år;73207
Ugift;2020K1;22 år;75122
Ugift;2020K1;23 år;75745
Ugift;2020K1;24 år;77467
Ugift;2020K1;25 år;76345
Ugift;2020K1;26 år;71228
Ugift;2020K1;27 år;68537
Ugift;2020K1;28 år;62475
Ugift;2020K1;29 år;58328
Ugift;2020K1;30 år;52300
Ugift;2020K1;31 år;46450
Ugift;2020K1;32 år;40898
Ugift;2020K1;33 år;37539
Ugift;2020K1;34 år;34180
Ugift;2020K1;35 år;30423
Ugift;2020K1;36 år;27835
Ugift;2020K1;37 år;26510
Ugift;2020K1;38 år;24551
Ugift;2020K1;39 år;24424
Ugift;2020K1;40 år;23254
Ugift;2020K1;41 år;22456
Ugift;2020K1;42 år;21067
Ugift;2020K1;43 år;21017
Ugift;2020K1;44 år;21776
Ugift;2020K1;45 år;20381
Ugift;2020K1;46 år;19715
Ugift;2020K1;47 år;19645
Ugift;2020K1;48 år;18729
Ugift;2020K1;49 år;17145
Ugift;2020K1;50 år;16695
Ugift;2020K1;51 år;16658
Ugift;2020K1;52 år;17448
Ugift;2020K1;53 år;17965
Ugift;2020K1;54 år;16784
Ugift;2020K1;55 år;16170
Ugift;2020K1;56 år;15431
Ugift;2020K1;57 år;13820
Ugift;2020K1;58 år;13024
Ugift;2020K1;59 år;12441
Ugift;2020K1;60 år;11437
Ugift;2020K1;61 år;11026
Ugift;2020K1;62 år;10442
Ugift;2020K1;63 år;9790
Ugift;2020K1;64 år;9143
Ugift;2020K1;65 år;8271
Ugift;2020K1;66 år;7794
Ugift;2020K1;67 år;7008
Ugift;2020K1;68 år;6264
Ugift;2020K1;69 år;5745
Ugift;2020K1;70 år;5024
Ugift;2020K1;71 år;4703
Ugift;2020K1;72 år;4456
Ugift;2020K1;73 år;4106
Ugift;2020K1;74 år;3491
Ugift;2020K1;75 år;3078
Ugift;2020K1;76 år;2606
Ugift;2020K1;77 år;2139
Ugift;2020K1;78 år;1774
Ugift;2020K1;79 år;1614
Ugift;2020K1;80 år;1461
Ugift;2020K1;81 år;1350
